id;gruppo_catastale;quotazione_immobiliare_mq
3108212;A;1333.0
3108213;C;1227.0
3108214;A;2950.0
3108215;A;2950.0
3108216;A;1426.0
3108217;A;1426.0
3108218;A;1426.0
3108219;A;1426.0
3108220;A;1333.0
3108221;A;1333.0
3108222;A;1333.0
3108223;A;1333.0
3108224;A;1333.0
3108225;D;321.0
3108226;F;1303.0
3108227;A;1235.0
3108228;A;1235.0
3108229;A;1447.0
3108230;A;1283.0
3108231;A;1283.0
3108232;A;1283.0
3108233;A;1283.0
3108234;A;1283.0
3108235;A;1283.0
3108236;A;1283.0
3108237;A;1283.0
3108238;A;1235.0
3108239;A;1283.0
3108240;A;1283.0
3108241;A;1283.0
3108242;A;1283.0
3108243;A;1283.0
3108244;A;1283.0
3108245;A;1283.0
3108246;A;1283.0
3108247;A;1283.0
3108248;A;1283.0
3108249;A;1283.0
3108250;A;1283.0
3108251;A;1034.0
3108252;A;1283.0
3108253;D;321.0
3108254;A;1283.0
3108255;B;1300.0
3108256;A;1034.0
3108257;A;1034.0
3108258;A;1034.0
3108259;A;1034.0
3108260;C;643.0
3108261;A;1034.0
3108262;C;932.0
3108263;A;1235.0
3108264;A;1235.0
3108265;A;1235.0
3108266;A;1235.0
3108267;A;1235.0
3108268;A;1235.0
3108269;A;1235.0
3108270;A;1235.0
3108271;A;1235.0
3108272;A;1333.0
3108273;A;2950.0
3108274;A;1333.0
3108275;A;1333.0
3108276;B;830.0
3108277;A;1235.0
3108278;A;1235.0
3108279;A;1235.0
3108280;A;1235.0
3108281;A;1235.0
3108282;A;1034.0
3108283;A;1034.0
3108284;A;1034.0
3108285;A;1034.0
3108286;A;1034.0
3108287;D;348.0
3108288;A;1034.0
3108289;A;1034.0
3108290;A;1034.0
3108291;C;643.0
3108292;A;1034.0
3108293;A;1034.0
3108294;A;1034.0
3108295;A;1034.0
3108296;A;1034.0
3108297;A;1034.0
3108298;A;1034.0
3108299;A;1034.0
3108300;A;1034.0
3108301;C;643.0
3108302;A;1034.0
3108303;A;1034.0
3108304;A;1034.0
3108305;A;1034.0
3108306;A;1034.0
3108307;A;1034.0
3108308;A;1034.0
3108309;A;1034.0
3108310;A;1034.0
3108311;A;1034.0
3108312;A;1988.0
3108313;A;1988.0
3108314;A;1988.0
3108315;A;1988.0
3108316;A;1988.0
3108317;A;1988.0
3108318;A;967.0
3108319;A;1078.0
3108320;A;1322.0
3108321;A;1717.0
3108322;A;1283.0
2757678;T;
420306;A;1938.0
1065333;T;1261.0
2842876;A;
264;B;1394.0
278;B;1553.0
1115;A;863.0
1116;A;863.0
1129;B;2256.0
2331;B;1561.0
2748;C;2095.0
2892;B;1485.0
3439;E;1776.0
3464;A;1000.0
3468;A;1138.0
3469;A;863.0
3898;B;2050.0
4204;A;863.0
4779;A;1988.0
5061;C;1936.0
5062;A;1497.0
5094;A;1988.0
5350;B;1018.0
5757;A;1447.0
6230;;2166.0
6260;A;863.0
6655;D;2296.0
6817;A;863.0
7267;B;1481.0
7904;B;1303.0
7948;A;1988.0
8387;A;1000.0
8411;;2166.0
8412;;2166.0
8901;;2166.0
9289;B;1312.0
9296;C;788.0
9305;B;1303.0
9799;;2166.0
9836;A;1988.0
10308;A;2950.0
10314;D;2256.0
10768;A;2725.0
10804;A;863.0
11881;;2166.0
11913;D;1801.0
11920;A;1805.0
11936;A;1235.0
11955;B;982.0
12042;B;850.0
12224;D;1866.0
12233;C;2095.0
12234;B;1888.0
12263;B;1018.0
12478;C;1530.0
12615;D;1938.0
12624;A;1988.0
12942;A;1988.0
13464;A;863.0
13478;C;1152.0
14085;B;1818.0
14393;B;1261.0
14602;D;321.0
14929;B;1593.0
14979;D;1801.0
15000;A;2725.0
15206;C;718.0
15274;A;863.0
15291;A;1988.0
15609;B;1312.0
15630;A;1042.0
15762;B;850.0
16133;B;1261.0
16187;A;863.0
16188;A;863.0
16213;B;1768.0
16250;B;1768.0
19833;B;1866.0
20159;A;863.0
20229;B;2000.0
20970;A;1235.0
21163;B;1312.0
22185;A;1988.0
22354;A;1988.0
22406;B;1312.0
22489;B;2409.0
22565;A;1717.0
22979;B;1261.0
23346;A;1515.0
23347;A;1515.0
23476;D;2296.0
23524;A;1515.0
23646;A;1000.0
23657;C;728.0
23949;B;1801.0
24376;B;1776.0
24496;B;939.0
24497;A;1500.0
24506;A;885.0
24636;A;1988.0
24637;A;1515.0
24764;B;1481.0
24899;A;1988.0
24907;B;982.0
25122;D;315.0
25247;B;1593.0
26000;A;1515.0
26231;A;1988.0
26341;A;1078.0
26534;A;1988.0
26535;D;1394.0
26538;B;2296.0
26539;C;1267.0
26653;A;1988.0
26672;A;1515.0
26841;A;1515.0
27069;A;1515.0
28522;A;1870.0
28523;A;1138.0
43004;;1485.0
43005;A;1333.0
43006;B;1485.0
43009;B;1561.0
43011;B;1561.0
43012;A;2950.0
43206;C;1530.0
